feature,importance
feature_2,0.35462600877310096
feature_1,0.22559650258337702
positive_signal_sum,0.21089243709455674
abs_feature_3,0.08968574710105799
feature_2_to_feature_3_ratio,0.06550046320063337
feature_1_feature_2_interaction,0.027151621232673253
feature_3,0.011111123420090187
feature_3_feature_4_interaction,0.005990518471656832
feature_4,0.0021527780133437304
feature_5,0.001586235780067465
overall_numerical_variability,0.0014485351483448383
overall_numerical_intensity,0.0011495729481303689
feature_7,0.0010009205416838607
feature_6,0.0008791258843318875
feature_8,0.0008333326960803799
category_2_Region A,0.00018911791746643037
category_2_Region C,0.00017705138799746162
category_2_Region B,2.2091774060232858e-05
category_1_Low,6.1993639631398885e-06
category_1_High,6.166673837241389e-07
category_1_Below Average,0.0
category_1_Above Average,0.0
